2026-08-11 23:53:16,933 | INFO | y2h_ppi | manifest.py:40 | Updated manifest entry for 'UniProt/SGD Yeast Proteome Sequences': 215 records recorded.
2026-08-11 23:53:16,935 | INFO | y2h_ppi | negatome.py:23 | Downloading Negatome 2.0 dataset...
2026-08-11 23:53:25,793 | WARNING | y2h_ppi | negatome.py:32 | MIPS Negatome server unreachable (HTTPSConnectionPool(host='mips.helmholtz-muenchen.de', port=443): Max retries exceeded with url: /proj/ppi/negatome/combined_stringent.txt (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)')))). Attempting mirror URL...
2026-08-11 23:53:26,578 | ERROR | y2h_ppi | negatome.py:41 | Failed to fetch Negatome dataset: 404 Client Error: Not Found for url: https://raw.githubusercontent.com/datasets/negatome/main/combined_stringent.txt
2026-08-11 23:53:26,588 | INFO | y2h_ppi | negatome.py:62 | Loaded raw Negatome dataset rows: 1
2026-08-11 23:53:26,590 | INFO | y2h_ppi | negatome.py:77 | Found 0 yeast-mappable Negatome non-interacting pairs.
2026-08-11 23:53:26,593 | INFO | y2h_ppi | manifest.py:40 | Updated manifest entry for 'Negatome 2.0 Yeast Non-Interactions': 0 records recorded.
2026-08-11 23:53:26,593 | INFO | y2h_ppi | pipeline.py:32 | === Phase 1 Checkpoint PASSED ===
2026-08-11 23:53:45,746 | INFO | y2h_ppi | cli.py:25 | Executing Phase 1: Real Data Acquisition
2026-08-11 23:53:46,666 | INFO | y2h_ppi | pipeline.py:10 | === Phase 1 Execution Started ===
2026-08-11 23:53:46,667 | INFO | y2h_ppi | biogrid.py:44 | Found validated BioGRID archive: data\raw\test_biogrid_organism.zip
2026-08-11 23:53:46,669 | INFO | y2h_ppi | biogrid.py:72 | Extracting yeast interaction dataset 'BIOGRID-ORGANISM-Saccharomyces_cerevisiae_S288c-4.4.240.tab3.txt' from zip archive...
2026-08-11 23:53:57,658 | INFO | y2h_ppi | biogrid.py:77 | Loaded raw BioGRID rows for yeast: 858477
2026-08-11 23:53:57,680 | INFO | y2h_ppi | biogrid.py:90 | Detected Y2H experimental systems in BioGRID dataset: ['Two-hybrid']
2026-08-11 23:53:58,217 | INFO | y2h_ppi | biogrid.py:99 | Rows after physical Y2H yeast filter: 17575
2026-08-11 23:54:01,806 | INFO | y2h_ppi | biogrid.py:116 | Final BioGRID Y2H canonical positive pairs: 12684 across 3688 unique proteins.
2026-08-11 23:54:01,835 | INFO | y2h_ppi | manifest.py:40 | Updated manifest entry for 'BioGRID Yeast Y2H Positives': 12684 records recorded.
2026-08-11 23:54:01,841 | INFO | y2h_ppi | uniprot.py:23 | Downloading SGD yeast ORF protein translations FASTA...
2026-08-11 23:54:05,921 | INFO | y2h_ppi | uniprot.py:30 | Downloaded SGD reference proteome FASTA to data\raw\yeast_reference_proteome.fasta
2026-08-11 23:54:06,555 | INFO | y2h_ppi | uniprot.py:81 | Parsed 6722 FASTA records mapping to 27567 protein ID keys.
2026-08-11 23:54:06,602 | INFO | y2h_ppi | uniprot.py:93 | Protein sequence mapping coverage: 3687 / 3688 (99.97%)
2026-08-11 23:54:06,768 | INFO | y2h_ppi | uniprot.py:101 | BioGRID positive pairs after sequence mapping filter: 12683 pairs.
2026-08-11 23:54:06,795 | INFO | y2h_ppi | manifest.py:40 | Updated manifest entry for 'SGD Yeast Proteome Sequences': 3687 records recorded.
2026-08-11 23:54:06,797 | INFO | y2h_ppi | negatome.py:38 | Found cached Negatome file: data\raw\negatome_combined_stringent.txt
2026-08-11 23:54:06,800 | INFO | y2h_ppi | negatome.py:53 | Loaded raw Negatome dataset rows: 1
2026-08-11 23:54:06,802 | INFO | y2h_ppi | negatome.py:68 | Found 0 yeast-mappable Negatome non-interacting pairs.
2026-08-11 23:54:06,824 | INFO | y2h_ppi | manifest.py:40 | Updated manifest entry for 'Negatome 2.0 Yeast Non-Interactions': 0 records recorded.
